Hotel_name,Price,Hotel_stars,Country,City,Duration,Date
Medplaya Hotel Bali,739,3,Ispanija,Malaga (Kosta del Solis),7,2024-03-12
The Three Corners Sea Beach Resort,729,4,Egiptas,Marsa Alamas,7,2024-03-02
The Three Corners Happy Life Beach Resort,729,4,Egiptas,Marsa Alamas,7,2024-03-02
Oscar Resort,739,4,Šiaurės Kipras, ,7,2024-04-19
New Beach Hotel,739,4,Graikija,Zakintas,7,2024-05-21
CVK Park Bosphorus Istanbul,749,5,Turkija,Stambulas,3,2024-03-18
Zoe,750,4,Graikija,Tasas,7,2024-05-19
Casa Blue Resort,759,5,Egiptas,Marsa Alamas,7,2024-03-23
Remisens Albatros,759,4,Kroatija,Dubrovnikas,4,2024-05-14
Iliada Beach,769,4,Kipras,Larnaka,7,2024-05-03
Ntinas Filoxenia,779,4,Graikija,Tasas,7,2024-05-19
Mountain View,779,3,Šiaurės Kipras, ,7,2024-05-24
Vuni Palace,779,5,Šiaurės Kipras, ,7,2024-04-19
HM Balanguera Beach – Adults Only,789,4,Ispanija,Maljorka,4,2024-05-13
Palma Bellver Affiliated By Meliá,799,4,Ispanija,Maljorka,3,2024-05-24
Acapulco Beach & Spa Resort,799,5,Šiaurės Kipras, ,7,2024-04-26
Balmoral,799,3,Ispanija,Malaga (Kosta del Solis),5,2024-04-19
Royal Paradise Beach Resort & Spa,799,5,Graikija,Tasas,7,2024-05-19
Gloria Maris,799,4,Graikija,Zakintas,7,2024-05-21
Monte Mar Palace,804,4,Madeira, ,7,2024-03-12
Ramada Plaza by Windham,809,5,Graikija,Kavala,7,2024-05-19
Rachoni Amazing,809,3,Graikija,Tasas,7,2024-05-19
Sun Gardens Dubrovnik,819,5,Kroatija,Dubrovnikas,4,2024-05-21
Thassos Grand Resort,829,5,Graikija,Tasas,7,2024-05-19
Mövenpick Resort El Quseir,829,5,Egiptas,Marsa Alamas,7,2024-03-02
The Three Corners Fayrouz Plaza Beach,829,5,Egiptas,Marsa Alamas,7,2024-03-02
Courtyard Long Beach Holiday Resort,829,4,Šiaurės Kipras, ,7,2024-05-03
Estalagem do Mar,839,3,Madeira, ,7,2024-03-19
Socrates Plaza,839,3,Graikija,Tasas,7,2024-05-19
Valamar Lacroma,849,4,Kroatija,Dubrovnikas,4,2024-05-14
Hilton Marsa Alam Nubian Resort,849,5,Egiptas,Marsa Alamas,7,2024-03-02
Ionis Art,849,4,Graikija,Zakintas,7,2024-05-21
Sentido Sandy Beach,849,4,Kipras,Larnaka,7,2024-04-26
Swissotel The Bosphorus,849,5,Turkija,Stambulas,3,2024-03-12
Alea & Suites,859,4,Graikija,Tasas,7,2024-05-19
Ilio Mare,859,5,Graikija,Tasas,7,2024-05-19
Saratoga,859,4,Ispanija,Maljorka,3,2024-05-24
Golden Coast Resort,869,4,Graikija,Zakintas,7,2024-05-21
Arabian Park Dubai – Edge by Rotana,869,3,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-01
Sol Principe,869,4,Ispanija,Malaga (Kosta del Solis),5,2024-04-19
Meliá Palma Marina,879,4,Ispanija,Maljorka,3,2024-05-17
Azure Resort & Spa,879,5,Graikija,Zakintas,7,2024-05-21
Pelagos Zante,889,4,Graikija,Zakintas,7,2024-05-21
AluaSun Marbella Park,899,3,Ispanija,Malaga (Kosta del Solis),5,2024-04-19
Holiday Inn Express Jumeirah,899,2,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-01
Akassia Swiss Resort,899,5,Egiptas,Marsa Alamas,7,2024-04-06
"Citymax, Al Barsha at the Mall",909,3,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-15
Golden Tulip Media,909,4,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-15
"Zante Park Resort & Spa, BW Premier Collection",909,5,Graikija,Zakintas,7,2024-05-21
Limak Cyprus Deluxe,909,5,Šiaurės Kipras, ,7,2024-04-19
Citymax Al Barsha,919,3,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-15
Lordos Beach Hotel & Spa,919,4,Kipras,Larnaka,7,2024-05-03
Grecian Park,929,5,Kipras,Larnaka,7,2024-05-03
Lapad,939,4,Kroatija,Dubrovnikas,4,2024-05-14
Arkin Palm Beach,939,5,Šiaurės Kipras, ,7,2024-04-19
Denizkizi,939,4,Šiaurės Kipras, ,7,2024-05-03
Grecian Bay,939,5,Kipras,Larnaka,7,2024-04-26
Denizkizi Royal,949,4,Šiaurės Kipras, ,7,2024-05-03
Jaz Lamaya Resort,959,5,Egiptas,Marsa Alamas,7,2024-03-02
Blue Sea Callao Garden,959,3,Kanarų salos,Tenerifė,4,2024-03-24
Louis St. Elias Resort,959,4,Kipras,Larnaka,7,2024-04-26
Santa Clara Urban Hotel & Spa,969,4,Ispanija,Maljorka,3,2024-05-24
"Amanti, MadeForTwo",969,5,Kipras,Larnaka,7,2024-04-26
Element City Center Doha,969,5,Kataras, ,3,2024-03-11
Amare Beach Hotel Marbella,969,4,Ispanija,Malaga (Kosta del Solis),3,2024-03-23
Alua Tenerife,979,4,Kanarų salos,Tenerifė,4,2024-03-24
Jaz Maraya Resort,979,5,Egiptas,Marsa Alamas,7,2024-03-02
Hipotels Gran Playa de Palma,979,4,Ispanija,Maljorka,4,2024-05-20
Rove Downtown Dubai,979,3,Jungtiniai Arabų Emyratai,Dubajus,3,2024-03-18
Blue Sea Lagos De Cesar,979,4,Kanarų salos,Tenerifė,4,2024-03-24
Millennium Central Dubai Downtown,989,4,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-01
Precise Resort Tenerife,989,4,Kanarų salos,Tenerifė,4,2024-03-24
Royal Princess,989,5,Kroatija,Dubrovnikas,4,2024-05-21
Delta Hotels City Center Doha,999,5,Kataras, ,3,2024-03-08
Faraonų lobiai | Pažintinė kelionė,999,5,Egiptas,Marsa Alamas,7,2024-03-16
Caretta Beach,999,4,Graikija,Zakintas,7,2024-05-21
Caretta Paradise,999,4,Graikija,Zakintas,7,2024-05-21
Dellarosa Boutique Hotel & Spa,999,4,Marokas,Marakešas,4,2024-03-12
Dom Pedro Madeira Ocean Beach,999,4,Madeira, ,7,2024-04-09
TRH Taoro Garden,1009,4,Kanarų salos,Tenerifė,4,2024-03-24
Impressive Playa Granada Golf,1009,4,Ispanija,Malaga (Kosta del Solis),7,2024-03-12
Element West Bay Doha,1019,5,Kataras, ,3,2024-03-21
Sheraton Cascais Resort,1019,5,Portugalija,Lisabona,4,2024-05-27
Fergus Puerto de la Cruz,1019,4,Kanarų salos,Tenerifė,4,2024-03-24
St. Raphael,1029,5,Kipras,Larnaka,7,2024-04-26
Lx Boutique Hotel,1029,4,Portugalija,Lisabona,4,2024-05-27
Baia,1029,3,Portugalija,Lisabona,4,2024-05-27
Sheraton Grand Doha Resort & Convention Hotel,1029,5,Kataras, ,3,2024-03-14
InterContinental Doha Beach & Spa,1039,5,Kataras, ,3,2024-03-15
My Story Hotel Ouro,1049,3,Portugalija,Lisabona,4,2024-05-27
Vila Galé Santa Cruz,1049,4,Madeira, ,7,2024-05-15
My Story Hotel Tejo,1049,3,Portugalija,Lisabona,4,2024-05-27
Pestana Promenade Ocean & Spa Resort,1059,4,Madeira, ,7,2024-03-05
Picalbatros Sands Port Ghalib,1059,5,Egiptas,Marsa Alamas,7,2024-03-09
Riad Ifoulki,1069,5,Marokas,Marakešas,7,2024-03-19
"Al Samriya Hotel, Doha, Autograph Collection",1069,5,Kataras, ,3,2024-03-09
Rixos Gulf Hotel Doha,1069,5,Kataras, ,3,2024-03-09
Next Savoy Signature,1069,4,Madeira, ,7,2024-03-05
Picalbatros Oasis Port Ghalib,1069,4,Egiptas,Marsa Alamas,7,2024-03-09
HG Tenerife Sur,1069,3,Kanarų salos,Tenerifė,4,2024-04-30
"Fuwairit Kite Beach, Tapestry Collection by Hilton",1079,4,Kataras, ,3,2024-03-14
DoubleTree by Hilton Resort & Spa Marjan Island,1079,5,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-01
Rove La Mer Beach,1089,3,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-15
The Bay Hotel & Suites,1089,5,Graikija,Zakintas,7,2024-05-21
Centara Mirage Beach Resort Dubai,1089,4,Jungtiniai Arabų Emyratai,Dubajus,5,2024-05-22
Gillham Vineyard,1099,5,Šiaurės Kipras, ,7,2024-04-19
Vila Baleira Funchal,1099,4,Madeira, ,7,2024-05-15
Hilton Salwa Beach Resort & Villas,1099,5,Kataras, ,3,2024-03-11
Stella Di Mare Dubai Marina,1109,5,Jungtiniai Arabų Emyratai,Dubajus,3,2024-03-18
Czar Lisbon,1109,4,Portugalija,Lisabona,4,2024-04-08
Royal M Hotel & Resort Abu Dhabi,1119,5,Jungtiniai Arabų Emyratai,Abu Dabis,7,2024-03-21
Farol Hotel,1119,5,Portugalija,Lisabona,4,2024-05-27
Picalbatros Palace Port Ghalib,1119,5,Egiptas,Marsa Alamas,7,2024-04-13
Adagio Premium The Palm,1129,4,Jungtiniai Arabų Emyratai,Dubajus,3,2024-03-18
"Radisson Blu Hotel, Abu Dhabi Yas Island",1139,4,Jungtiniai Arabų Emyratai,Abu Dabis,7,2024-03-12
Sol Costa Atlantis Tenerife,1139,4,Kanarų salos,Tenerifė,4,2024-03-24
Pestana Cidadela Cascais,1149,5,Portugalija,Lisabona,4,2024-04-08
Golden Residence,1149,4,Madeira, ,7,2024-03-19
Enotel Sunset Bay,1149,4,Madeira, ,7,2024-03-19
"Marsa Malaz Kempinski, The Pearl",1159,5,Kataras, ,3,2024-03-21
Atlantic Mirage,1159,4,Kanarų salos,Tenerifė,4,2024-03-24
Sofitel Abu Dhabi Corniche,1159,5,Jungtiniai Arabų Emyratai,Abu Dabis,7,2024-03-21
Mandarin Oriental,1169,5,Kataras, ,3,2024-03-15
Anantara Eastern Mangroves Abu Dhabi Hotel,1169,5,Jungtiniai Arabų Emyratai,Abu Dabis,7,2024-03-19
Graikų pranašystės | Pažintinė kelionė,1169,5,Graikija, ,7,2024-05-19
LEGOLAND Hotel Dubai,1179,4,Jungtiniai Arabų Emyratai,Dubajus,3,2024-03-18
Flamingo Beach Mate,1199,4,Kanarų salos,Tenerifė,3,2024-03-03
The Chedi Katara,1199,5,Kataras, ,3,2024-03-24
Pestana CR7,1209,4,Madeira, ,7,2024-03-05
Khalidiya Palace Rayhaan by Rotana,1209,5,Jungtiniai Arabų Emyratai,Abu Dabis,7,2024-03-12
KN Hotel Arenas del Mar,1219,4,Kanarų salos,Tenerifė,4,2024-04-16
Abora Buenaventura by Lopesan Hotels,1229,4,Kanarų salos,Gran Kanarija,4,2024-03-04
Lord's Palace,1229,5,Šiaurės Kipras, ,7,2024-05-24
Be Live Experience La Nina,1229,4,Kanarų salos,Tenerifė,3,2024-03-03
Fairmont Bab Al Bahr,1239,5,Jungtiniai Arabų Emyratai,Abu Dabis,7,2024-03-14
Fairmont Doha,1239,5,Kataras, ,3,2024-03-16
Grande Real Villa Itália Hotel & Spa,1249,5,Portugalija,Lisabona,4,2024-04-08
